wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-06-30,44212,0,1,12,28,28,21,9,0,0.02,0.36,1.12,1.4,1.26,0.63,4.79
2022-06-29,45645,0,1,5,22,33,28,10,0,0.02,0.15,0.88,1.65,1.68,0.7,5.08
2022-06-28,47312,0,2,16,31,31,17,3,0,0.04,0.48,1.24,1.55,1.02,0.21,4.54
2022-06-27,47986,0,6,24,35,24,9,1,0,0.12,0.72,1.4,1.2,0.54,0.07,4.05
2022-06-26,50540,0,9,37,34,13,5,1,0,0.18,1.11,1.36,0.65,0.3,0.07,3.67
2022-06-25,46089,0,3,19,39,29,10,1,0,0.06,0.57,1.56,1.45,0.6,0.07,4.31
2022-06-24,50617,0,6,23,35,24,11,2,0,0.12,0.69,1.4,1.2,0.66,0.14,4.21
2022-06-23,53111,0,4,22,41,24,7,1,0,0.08,0.66,1.64,1.2,0.42,0.07,4.07
2022-06-22,47645,0,5,21,33,27,12,2,0,0.1,0.63,1.32,1.35,0.72,0.14,4.26
2022-06-21,53342,0,8,21,31,26,12,2,0,0.16,0.63,1.24,1.3,0.72,0.14,4.19
2022-06-20,50484,0,5,30,38,21,6,1,0,0.1,0.9,1.52,1.05,0.36,0.07,4
2022-06-19,55359,1,10,28,32,19,8,2,0.01,0.2,0.84,1.28,0.95,0.48,0.14,3.9
2022-06-18,47205,0,1,9,27,36,23,4,0,0.02,0.27,1.08,1.8,1.38,0.28,4.83
2022-06-17,54665,0,6,23,35,26,10,1,0,0.12,0.69,1.4,1.3,0.6,0.07,4.18
2022-06-16,53430,0,7,30,38,19,5,1,0,0.14,0.9,1.52,0.95,0.3,0.07,3.88
2022-06-15,55989,0,3,22,38,25,10,2,0,0.06,0.66,1.52,1.25,0.6,0.14,4.23
2022-06-14,59968,2,16,34,29,14,4,1,0.02,0.32,1.02,1.16,0.7,0.24,0.07,3.53
2022-06-13,53802,0,3,27,38,23,7,1,0,0.06,0.81,1.52,1.15,0.42,0.07,4.03
2022-06-12,56684,1,12,30,32,18,6,1,0.01,0.24,0.9,1.28,0.9,0.36,0.07,3.76
2022-06-11,51958,0,2,12,28,32,21,5,0,0.04,0.36,1.12,1.6,1.26,0.35,4.73
2022-06-10,55376,0,4,25,41,22,7,1,0,0.08,0.75,1.64,1.1,0.42,0.07,4.06
2022-06-09,60020,0,6,23,33,23,12,3,0,0.12,0.69,1.32,1.15,0.72,0.21,4.21
2022-06-08,61026,0,6,22,35,24,11,2,0,0.12,0.66,1.4,1.2,0.66,0.14,4.18
2022-06-07,58991,0,3,20,40,28,8,1,0,0.06,0.6,1.6,1.4,0.48,0.07,4.21
2022-06-06,58478,0,2,14,35,35,13,1,0,0.04,0.42,1.4,1.75,0.78,0.07,4.46
2022-06-05,56738,0,6,28,39,20,6,1,0,0.12,0.84,1.56,1,0.36,0.07,3.95
2022-06-04,58263,0,5,22,35,25,11,1,0,0.1,0.66,1.4,1.25,0.66,0.07,4.14
2022-06-03,65431,1,13,38,32,13,3,0,0.01,0.26,1.14,1.28,0.65,0.18,0,3.52
2022-06-02,61278,0,2,16,37,30,13,2,0,0.04,0.48,1.48,1.5,0.78,0.14,4.42
2022-06-01,63241,0,5,21,32,25,14,3,0,0.1,0.63,1.28,1.25,0.84,0.21,4.31
