wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-02-28,251094,1,8,30,36,18,6,1,0.01,0.16,0.9,1.44,0.9,0.36,0.07,3.84
2022-02-27,250413,1,9,33,33,16,7,1,0.01,0.18,0.99,1.32,0.8,0.42,0.07,3.79
2022-02-26,248363,1,5,26,34,22,10,2,0.01,0.1,0.78,1.36,1.1,0.6,0.14,4.09
2022-02-25,255907,1,2,10,29,33,21,4,0.01,0.04,0.3,1.16,1.65,1.26,0.28,4.7
2022-02-24,250674,1,6,21,32,25,12,2,0.01,0.12,0.63,1.28,1.25,0.72,0.14,4.15
2022-02-23,277576,1,5,16,24,25,22,8,0.01,0.1,0.48,0.96,1.25,1.32,0.56,4.68
2022-02-22,309356,1,14,38,30,12,4,0,0.01,0.28,1.14,1.2,0.6,0.24,0,3.47
2022-02-21,278731,1,9,26,30,21,10,2,0.01,0.18,0.78,1.2,1.05,0.6,0.14,3.96
2022-02-20,273306,1,4,21,32,26,14,3,0.01,0.08,0.63,1.28,1.3,0.84,0.21,4.35
2022-02-19,282327,1,1,8,19,31,30,10,0.01,0.02,0.24,0.76,1.55,1.8,0.7,5.08
2022-02-18,265238,1,3,15,29,27,19,7,0.01,0.06,0.45,1.16,1.35,1.14,0.49,4.66
2022-02-17,342003,1,6,16,23,24,21,9,0.01,0.12,0.48,0.92,1.2,1.26,0.63,4.62
2022-02-16,289721,1,4,20,31,26,15,3,0.01,0.08,0.6,1.24,1.3,0.9,0.21,4.34
2022-02-15,287836,1,6,25,33,22,11,2,0.01,0.12,0.75,1.32,1.1,0.66,0.14,4.1
2022-02-14,261521,1,2,11,33,34,17,3,0.01,0.04,0.33,1.32,1.7,1.02,0.21,4.63
2022-02-13,277471,1,6,29,34,21,8,1,0.01,0.12,0.87,1.36,1.05,0.48,0.07,3.96
2022-02-12,269885,1,7,23,34,24,10,1,0.01,0.14,0.69,1.36,1.2,0.6,0.07,4.07
2022-02-11,278826,1,4,18,30,28,16,3,0.01,0.08,0.54,1.2,1.4,0.96,0.21,4.4
2022-02-10,304830,1,8,26,32,21,10,2,0.01,0.16,0.78,1.28,1.05,0.6,0.14,4.02
2022-02-09,305372,1,5,22,34,25,11,2,0.01,0.1,0.66,1.36,1.25,0.66,0.14,4.18
2022-02-08,336236,1,10,20,24,24,17,3,0.01,0.2,0.6,0.96,1.2,1.02,0.21,4.2
2022-02-07,288228,1,3,13,24,30,24,5,0.01,0.06,0.39,0.96,1.5,1.44,0.35,4.71
2022-02-06,311018,1,3,17,33,27,16,3,0.01,0.06,0.51,1.32,1.35,0.96,0.21,4.42
2022-02-05,319698,1,4,22,36,25,11,2,0.01,0.08,0.66,1.44,1.25,0.66,0.14,4.24
2022-02-04,359679,1,10,28,31,19,9,2,0.01,0.2,0.84,1.24,0.95,0.54,0.14,3.92
2022-02-03,358176,1,7,22,28,25,14,4,0.01,0.14,0.66,1.12,1.25,0.84,0.28,4.3
2022-02-02,361908,3,13,32,29,16,7,1,0.03,0.26,0.96,1.16,0.8,0.42,0.07,3.7
2022-02-01,351663,1,13,34,30,15,6,1,0.01,0.26,1.02,1.2,0.75,0.36,0.07,3.67
