wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-04-30,77991,0,2,10,25,35,23,4,0,0.04,0.3,1,1.75,1.38,0.28,4.75
2022-04-29,106652,2,19,34,27,13,4,1,0.02,0.38,1.02,1.08,0.65,0.24,0.07,3.46
2022-04-28,88974,0,2,12,27,30,22,7,0,0.04,0.36,1.08,1.5,1.32,0.49,4.79
2022-04-27,98967,0,6,26,36,22,8,1,0,0.12,0.78,1.44,1.1,0.48,0.07,3.99
2022-04-26,103153,1,13,32,31,16,6,1,0.01,0.26,0.96,1.24,0.8,0.36,0.07,3.7
2022-04-25,91548,0,3,13,29,32,19,4,0,0.06,0.39,1.16,1.6,1.14,0.28,4.63
2022-04-24,97452,0,7,27,34,22,9,1,0,0.14,0.81,1.36,1.1,0.54,0.07,4.02
2022-04-23,95562,1,6,25,34,23,10,1,0.01,0.12,0.75,1.36,1.15,0.6,0.07,4.06
2022-04-22,119232,2,19,39,28,10,3,0,0.02,0.38,1.17,1.12,0.5,0.18,0,3.37
2022-04-21,97955,0,2,11,30,33,21,4,0,0.04,0.33,1.2,1.65,1.26,0.28,4.76
2022-04-20,102007,0,5,20,34,27,12,2,0,0.1,0.6,1.36,1.35,0.72,0.14,4.27
2022-04-19,108899,0,2,10,19,19,23,26,0,0.04,0.3,0.76,0.95,1.38,1.82,5.25
2022-04-18,112383,1,8,30,36,18,6,1,0.01,0.16,0.9,1.44,0.9,0.36,0.07,3.84
2022-04-17,106081,0,4,20,35,27,11,2,0,0.08,0.6,1.4,1.35,0.66,0.14,4.23
2022-04-16,107987,0,3,19,40,28,9,1,0,0.06,0.57,1.6,1.4,0.54,0.07,4.24
2022-04-15,129991,1,11,22,25,21,15,5,0.01,0.22,0.66,1,1.05,0.9,0.35,4.19
2022-04-14,113448,0,6,24,35,24,10,1,0,0.12,0.72,1.4,1.2,0.6,0.07,4.11
2022-04-13,123255,1,4,29,42,18,5,1,0.01,0.08,0.87,1.68,0.9,0.3,0.07,3.91
2022-04-12,114907,1,5,24,36,23,9,1,0.01,0.1,0.72,1.44,1.15,0.54,0.07,4.03
2022-04-11,109828,0,3,20,33,27,14,2,0,0.06,0.6,1.32,1.35,0.84,0.14,4.31
2022-04-10,126241,1,10,31,34,18,6,1,0.01,0.2,0.93,1.36,0.9,0.36,0.07,3.83
2022-04-09,134210,2,21,36,26,11,4,1,0.02,0.42,1.08,1.04,0.55,0.24,0.07,3.42
2022-04-08,141158,1,12,23,26,21,13,4,0.01,0.24,0.69,1.04,1.05,0.78,0.28,4.09
2022-04-07,117761,0,2,14,31,31,19,4,0,0.04,0.42,1.24,1.55,1.14,0.28,4.67
2022-04-06,117856,0,2,13,33,33,17,3,0,0.04,0.39,1.32,1.65,1.02,0.21,4.63
2022-04-05,121356,0,2,14,32,32,17,3,0,0.04,0.42,1.28,1.6,1.02,0.21,4.57
2022-04-04,129651,0,3,16,31,30,16,3,0,0.06,0.48,1.24,1.5,0.96,0.21,4.45
2022-04-03,124532,0,2,10,24,32,26,6,0,0.04,0.3,0.96,1.6,1.56,0.42,4.88
2022-04-02,155079,1,16,33,28,15,6,1,0.01,0.32,0.99,1.12,0.75,0.36,0.07,3.62
2022-04-01,144648,1,4,19,27,26,18,5,0.01,0.08,0.57,1.08,1.3,1.08,0.35,4.47
