wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-07-31,39250,1,8,26,33,19,10,2,0.01,0.16,0.78,1.32,0.95,0.6,0.14,3.96
2022-07-30,37353,0,2,14,42,31,10,1,0,0.04,0.42,1.68,1.55,0.6,0.07,4.36
2022-07-29,37791,0,5,30,38,20,6,1,0,0.1,0.9,1.52,1,0.36,0.07,3.95
2022-07-28,40650,0,7,26,32,21,11,2,0,0.14,0.78,1.28,1.05,0.66,0.14,4.05
2022-07-27,38284,0,1,11,36,36,14,1,0,0.02,0.33,1.44,1.8,0.84,0.07,4.5
2022-07-26,39171,0,2,15,24,22,25,13,0,0.04,0.45,0.96,1.1,1.5,0.91,4.96
2022-07-25,39288,0,4,22,32,26,13,2,0,0.08,0.66,1.28,1.3,0.78,0.14,4.24
2022-07-24,39813,2,6,19,29,24,15,4,0.02,0.12,0.57,1.16,1.2,0.9,0.28,4.25
2022-07-23,36769,0,2,18,39,28,10,2,0,0.04,0.54,1.56,1.4,0.6,0.14,4.28
2022-07-22,43099,0,3,26,41,23,6,1,0,0.06,0.78,1.64,1.15,0.36,0.07,4.06
2022-07-21,39086,0,6,24,36,23,9,2,0,0.12,0.72,1.44,1.15,0.54,0.14,4.11
2022-07-20,42237,0,4,14,22,22,23,15,0,0.08,0.42,0.88,1.1,1.38,1.05,4.91
2022-07-19,39667,0,5,27,38,21,7,1,0,0.1,0.81,1.52,1.05,0.42,0.07,3.97
2022-07-18,42574,0,4,22,37,27,9,1,0,0.08,0.66,1.48,1.35,0.54,0.07,4.18
2022-07-17,39611,0,3,18,39,27,10,2,0,0.06,0.54,1.56,1.35,0.6,0.14,4.25
2022-07-16,38769,0,2,17,41,28,10,2,0,0.04,0.51,1.64,1.4,0.6,0.14,4.33
2022-07-15,39234,0,2,11,32,37,17,2,0,0.04,0.33,1.28,1.85,1.02,0.14,4.66
2022-07-14,40549,0,4,16,26,25,20,8,0,0.08,0.48,1.04,1.25,1.2,0.56,4.61
2022-07-13,46246,0,7,31,38,18,4,0,0,0.14,0.93,1.52,0.9,0.24,0,3.73
2022-07-12,46910,1,8,27,27,17,13,7,0.01,0.16,0.81,1.08,0.85,0.78,0.49,4.18
2022-07-11,40545,0,3,13,35,34,14,2,0,0.06,0.39,1.4,1.7,0.84,0.14,4.53
2022-07-10,41785,0,7,24,35,24,9,1,0,0.14,0.72,1.4,1.2,0.54,0.07,4.07
2022-07-09,47094,1,6,20,27,28,16,3,0.01,0.12,0.6,1.08,1.4,0.96,0.21,4.38
2022-07-08,42806,1,5,24,35,25,9,1,0.01,0.1,0.72,1.4,1.25,0.54,0.07,4.09
2022-07-07,43407,0,2,18,36,27,15,3,0,0.04,0.54,1.44,1.35,0.9,0.21,4.48
2022-07-06,47344,0,0,4,25,44,23,4,0,0,0.12,1,2.2,1.38,0.28,4.98
2022-07-05,44578,1,6,25,36,23,9,1,0.01,0.12,0.75,1.44,1.15,0.54,0.07,4.08
2022-07-04,42645,0,2,13,27,29,21,7,0,0.04,0.39,1.08,1.45,1.26,0.49,4.71
2022-07-03,40486,0,2,17,38,29,12,1,0,0.04,0.51,1.52,1.45,0.72,0.07,4.31
2022-07-02,41765,0,3,14,33,33,15,2,0,0.06,0.42,1.32,1.65,0.9,0.14,4.49
2022-07-01,47248,0,5,25,41,22,6,1,0,0.1,0.75,1.64,1.1,0.36,0.07,4.02
