wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-10-31,26498,0,3,26,41,23,7,1,0,0.06,0.78,1.64,1.15,0.42,0.07,4.12
2022-10-30,24672,0,2,11,29,35,19,3,0,0.04,0.33,1.16,1.75,1.14,0.21,4.63
2022-10-29,25156,0,3,15,32,32,16,2,0,0.06,0.45,1.28,1.6,0.96,0.14,4.49
2022-10-28,27905,0,7,28,36,21,7,1,0,0.14,0.84,1.44,1.05,0.42,0.07,3.96
2022-10-27,27609,0,4,22,35,24,12,3,0,0.08,0.66,1.4,1.2,0.72,0.21,4.27
2022-10-26,30063,0,6,28,37,21,7,1,0,0.12,0.84,1.48,1.05,0.42,0.07,3.98
2022-10-25,28953,0,2,13,35,32,15,3,0,0.04,0.39,1.4,1.6,0.9,0.21,4.54
2022-10-24,28947,0,7,27,35,22,8,1,0,0.14,0.81,1.4,1.1,0.48,0.07,4
2022-10-23,29279,0,1,4,14,27,37,18,0,0.02,0.12,0.56,1.35,2.22,1.26,5.53
2022-10-22,29084,0,7,32,36,19,6,1,0,0.14,0.96,1.44,0.95,0.36,0.07,3.92
2022-10-21,28637,0,4,18,30,28,17,3,0,0.08,0.54,1.2,1.4,1.02,0.21,4.45
2022-10-20,28741,0,5,29,40,20,5,0,0,0.1,0.87,1.6,1,0.3,0,3.87
2022-10-19,28322,0,3,23,39,24,9,2,0,0.06,0.69,1.56,1.2,0.54,0.14,4.19
2022-10-18,28612,0,5,24,38,23,8,1,0,0.1,0.72,1.52,1.15,0.48,0.07,4.04
2022-10-17,31269,1,12,34,32,16,5,1,0.01,0.24,1.02,1.28,0.8,0.3,0.07,3.72
2022-10-16,30459,1,8,29,36,19,6,1,0.01,0.16,0.87,1.44,0.95,0.36,0.07,3.86
2022-10-15,30403,0,7,18,20,15,16,23,0,0.14,0.54,0.8,0.75,0.96,1.61,4.8
2022-10-14,28906,0,3,23,44,24,6,0,0,0.06,0.69,1.76,1.2,0.36,0,4.07
2022-10-13,27197,0,5,23,35,25,11,2,0,0.1,0.69,1.4,1.25,0.66,0.14,4.24
2022-10-12,29151,0,2,13,25,28,21,11,0,0.04,0.39,1,1.4,1.26,0.77,4.86
2022-10-11,28575,0,4,28,38,21,8,1,0,0.08,0.84,1.52,1.05,0.48,0.07,4.04
2022-10-10,26878,0,3,12,29,33,20,3,0,0.06,0.36,1.16,1.65,1.2,0.21,4.64
2022-10-09,28408,0,2,13,32,32,17,4,0,0.04,0.39,1.28,1.6,1.02,0.28,4.61
2022-10-08,26905,0,2,15,35,31,14,2,0,0.04,0.45,1.4,1.55,0.84,0.14,4.42
2022-10-07,29026,0,2,11,23,29,24,11,0,0.04,0.33,0.92,1.45,1.44,0.77,4.95
2022-10-06,32522,1,10,38,34,13,3,0,0.01,0.2,1.14,1.36,0.65,0.18,0,3.54
2022-10-05,30935,0,9,30,35,19,6,1,0,0.18,0.9,1.4,0.95,0.36,0.07,3.86
2022-10-04,32014,0,3,17,35,28,13,3,0,0.06,0.51,1.4,1.4,0.78,0.21,4.36
2022-10-03,32288,1,10,30,33,18,8,2,0.01,0.2,0.9,1.32,0.9,0.48,0.14,3.95
2022-10-02,30088,0,6,28,40,20,5,1,0,0.12,0.84,1.6,1,0.3,0.07,3.93
2022-10-01,28202,0,4,16,34,31,12,1,0,0.08,0.48,1.36,1.55,0.72,0.07,4.26
