wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-01-31,341314,1,10,25,27,19,12,5,0.01,0.2,0.75,1.08,0.95,0.72,0.35,4.06
2022-01-30,294687,0,2,18,39,27,12,2,0,0.04,0.54,1.56,1.35,0.72,0.14,4.35
2022-01-29,313220,1,7,29,35,20,8,1,0.01,0.14,0.87,1.4,1,0.48,0.07,3.97
2022-01-28,296968,1,4,17,30,27,17,4,0.01,0.08,0.51,1.2,1.35,1.02,0.28,4.45
2022-01-27,331844,1,9,29,33,19,7,1,0.01,0.18,0.87,1.32,0.95,0.42,0.07,3.82
2022-01-26,302348,1,4,22,37,24,10,2,0.01,0.08,0.66,1.48,1.2,0.6,0.14,4.17
2022-01-25,276404,1,6,25,34,23,9,1,0.01,0.12,0.75,1.36,1.15,0.54,0.07,4
2022-01-24,258038,1,1,11,29,33,21,4,0.01,0.02,0.33,1.16,1.65,1.26,0.28,4.71
2022-01-23,269929,1,5,28,38,20,7,1,0.01,0.1,0.84,1.52,1,0.42,0.07,3.96
2022-01-22,241489,1,3,17,33,29,15,3,0.01,0.06,0.51,1.32,1.45,0.9,0.21,4.46
2022-01-21,273727,1,8,30,33,19,7,1,0.01,0.16,0.9,1.32,0.95,0.42,0.07,3.83
2022-01-20,243964,1,8,29,34,20,8,1,0.01,0.16,0.87,1.36,1,0.48,0.07,3.95
2022-01-19,280622,1,16,37,28,12,4,1,0.01,0.32,1.11,1.12,0.6,0.24,0.07,3.47
2022-01-17,222197,1,8,32,32,18,8,2,0.01,0.16,0.96,1.28,0.9,0.48,0.14,3.93
2022-01-16,209609,1,9,32,32,18,7,1,0.01,0.18,0.96,1.28,0.9,0.42,0.07,3.82
2022-01-15,205880,1,9,35,34,16,5,1,0.01,0.18,1.05,1.36,0.8,0.3,0.07,3.77
2022-01-14,169484,1,4,21,30,24,15,5,0.01,0.08,0.63,1.2,1.2,0.9,0.35,4.37
2022-01-13,132726,1,2,13,29,31,20,3,0.01,0.04,0.39,1.16,1.55,1.2,0.21,4.56
2022-01-12,137586,1,4,15,26,29,21,4,0.01,0.08,0.45,1.04,1.45,1.26,0.28,4.57
2022-01-11,153880,1,9,35,34,16,5,1,0.01,0.18,1.05,1.36,0.8,0.3,0.07,3.77
2022-01-10,107134,1,4,16,30,30,17,2,0.01,0.08,0.48,1.2,1.5,1.02,0.14,4.43
2022-01-09,91477,1,3,13,27,30,22,4,0.01,0.06,0.39,1.08,1.5,1.32,0.28,4.64
2022-01-08,101503,1,5,23,31,24,14,2,0.01,0.1,0.69,1.24,1.2,0.84,0.14,4.22
2022-01-07,80630,1,3,23,39,24,9,1,0.01,0.06,0.69,1.56,1.2,0.54,0.07,4.13
