wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-12-31,20380,0,2,17,37,29,12,2,0,0.04,0.51,1.48,1.45,0.72,0.14,4.34
2022-12-30,21204,0,4,21,38,26,9,1,0,0.08,0.63,1.52,1.3,0.54,0.07,4.14
2022-12-29,20001,0,2,16,38,30,12,2,0,0.04,0.48,1.52,1.5,0.72,0.14,4.4
2022-12-28,20160,0,3,21,40,25,9,1,0,0.06,0.63,1.6,1.25,0.54,0.07,4.15
2022-12-27,20879,0,2,17,35,29,14,3,0,0.04,0.51,1.4,1.45,0.84,0.21,4.45
2022-12-26,20011,0,2,8,16,26,33,14,0,0.04,0.24,0.64,1.3,1.98,0.98,5.18
2022-12-25,15554,1,5,20,35,28,10,1,0.01,0.1,0.6,1.4,1.4,0.6,0.07,4.18
2022-12-24,20281,2,11,34,32,15,6,1,0.02,0.22,1.02,1.28,0.75,0.36,0.07,3.72
2022-12-23,21937,0,7,26,35,20,10,3,0,0.14,0.78,1.4,1,0.6,0.21,4.13
2022-12-22,20490,0,1,13,34,34,15,2,0,0.02,0.39,1.36,1.7,0.9,0.14,4.51
2022-12-21,22180,0,5,32,40,17,4,0,0,0.1,0.96,1.6,0.85,0.24,0,3.75
2022-12-20,24137,1,10,47,32,9,2,0,0.01,0.2,1.41,1.28,0.45,0.12,0,3.47
2022-12-19,26010,6,14,33,27,13,5,1,0.06,0.28,0.99,1.08,0.65,0.3,0.07,3.43
2022-12-18,22166,0,8,28,30,20,11,3,0,0.16,0.84,1.2,1,0.66,0.21,4.07
2022-12-17,22336,0,7,39,38,13,3,0,0,0.14,1.17,1.52,0.65,0.18,0,3.66
2022-12-16,22853,0,6,24,32,24,11,3,0,0.12,0.72,1.28,1.2,0.66,0.21,4.19
2022-12-15,22176,0,7,27,35,22,8,1,0,0.14,0.81,1.4,1.1,0.48,0.07,4
2022-12-14,20824,0,3,20,39,27,10,1,0,0.06,0.6,1.56,1.35,0.6,0.07,4.24
2022-12-13,24101,0,6,31,38,19,5,0,0,0.12,0.93,1.52,0.95,0.3,0,3.82
2022-12-12,22873,0,5,28,38,22,7,1,0,0.1,0.84,1.52,1.1,0.42,0.07,4.05
2022-12-11,21947,1,7,24,32,24,11,1,0.01,0.14,0.72,1.28,1.2,0.66,0.07,4.08
2022-12-10,21157,0,3,18,43,27,8,1,0,0.06,0.54,1.72,1.35,0.48,0.07,4.22
2022-12-09,23640,0,10,36,35,14,3,0,0,0.2,1.08,1.4,0.7,0.18,0,3.56
2022-12-08,21199,0,3,19,33,26,14,3,0,0.06,0.57,1.32,1.3,0.84,0.21,4.3
2022-12-07,24899,0,6,29,34,21,8,2,0,0.12,0.87,1.36,1.05,0.48,0.14,4.02
2022-12-06,23509,0,6,22,33,24,12,3,0,0.12,0.66,1.32,1.2,0.72,0.21,4.23
2022-12-05,23153,0,2,10,25,36,23,4,0,0.04,0.3,1,1.8,1.38,0.28,4.8
2022-12-04,25577,2,17,32,29,15,5,1,0.02,0.34,0.96,1.16,0.75,0.3,0.07,3.6
2022-12-03,23873,0,4,35,36,17,6,1,0,0.08,1.05,1.44,0.85,0.36,0.07,3.85
2022-12-02,24646,0,6,30,33,19,9,2,0,0.12,0.9,1.32,0.95,0.54,0.14,3.97
2022-12-01,22628,0,2,11,35,36,14,2,0,0.04,0.33,1.4,1.8,0.84,0.14,4.55
