wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-08-31,35343,0,5,12,20,32,26,5,0,0.1,0.36,0.8,1.6,1.56,0.35,4.77
2022-08-30,33660,0,4,29,40,21,6,1,0,0.08,0.87,1.6,1.05,0.36,0.07,4.03
2022-08-29,34281,1,6,32,38,18,5,0,0.01,0.12,0.96,1.52,0.9,0.3,0,3.81
2022-08-28,30214,0,2,11,24,31,25,8,0,0.04,0.33,0.96,1.55,1.5,0.56,4.94
2022-08-27,31241,0,2,16,33,29,16,4,0,0.04,0.48,1.32,1.45,0.96,0.28,4.53
2022-08-26,34716,0,6,29,34,21,8,1,0,0.12,0.87,1.36,1.05,0.48,0.07,3.95
2022-08-25,36737,1,8,29,36,20,6,1,0.01,0.16,0.87,1.44,1,0.36,0.07,3.91
2022-08-24,33700,0,2,21,41,26,9,1,0,0.04,0.63,1.64,1.3,0.54,0.07,4.22
2022-08-23,33549,0,2,13,32,32,17,3,0,0.04,0.39,1.28,1.6,1.02,0.21,4.54
2022-08-22,35888,0,7,33,37,17,5,0,0,0.14,0.99,1.48,0.85,0.3,0,3.76
2022-08-21,35617,1,7,19,27,24,17,5,0.01,0.14,0.57,1.08,1.2,1.02,0.35,4.37
2022-08-20,38245,1,22,32,26,14,5,1,0.01,0.44,0.96,1.04,0.7,0.3,0.07,3.52
2022-08-19,33965,0,4,23,36,26,10,1,0,0.08,0.69,1.44,1.3,0.6,0.07,4.18
2022-08-18,34938,0,3,22,43,25,7,1,0,0.06,0.66,1.72,1.25,0.42,0.07,4.18
2022-08-17,35815,1,6,28,38,21,6,1,0.01,0.12,0.84,1.52,1.05,0.36,0.07,3.97
2022-08-16,35105,0,3,19,39,29,9,1,0,0.06,0.57,1.56,1.45,0.54,0.07,4.25
2022-08-15,35376,0,4,17,30,27,17,5,0,0.08,0.51,1.2,1.35,1.02,0.35,4.51
2022-08-14,31652,0,2,17,33,28,16,4,0,0.04,0.51,1.32,1.4,0.96,0.28,4.51
2022-08-13,35276,0,1,11,33,25,22,7,0,0.02,0.33,1.32,1.25,1.32,0.49,4.73
2022-08-12,34198,0,4,18,32,29,15,2,0,0.08,0.54,1.28,1.45,0.9,0.14,4.39
2022-08-11,37301,0,6,23,37,24,8,1,0,0.12,0.69,1.48,1.2,0.48,0.07,4.04
2022-08-10,37654,0,4,20,34,27,13,2,0,0.08,0.6,1.36,1.35,0.78,0.14,4.31
2022-08-09,36223,0,2,16,39,29,12,2,0,0.04,0.48,1.56,1.45,0.72,0.14,4.39
2022-08-08,35516,0,3,24,38,25,9,1,0,0.06,0.72,1.52,1.25,0.54,0.07,4.16
2022-08-07,37761,1,9,20,26,24,16,4,0.01,0.18,0.6,1.04,1.2,0.96,0.28,4.27
2022-08-06,38841,3,17,31,29,15,4,0,0.03,0.34,0.93,1.16,0.75,0.24,0,3.45
2022-08-05,37350,0,1,9,29,34,22,5,0,0.02,0.27,1.16,1.7,1.32,0.35,4.82
2022-08-04,37229,0,4,22,39,25,8,1,0,0.08,0.66,1.56,1.25,0.48,0.07,4.1
2022-08-03,38381,1,5,17,31,29,15,3,0.01,0.1,0.51,1.24,1.45,0.9,0.21,4.42
2022-08-02,34909,0,0,4,17,28,35,15,0,0,0.12,0.68,1.4,2.1,1.05,5.35
2022-08-01,36662,0,5,20,33,27,13,2,0,0.1,0.6,1.32,1.35,0.78,0.14,4.29
