wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-11-30,25569,0,6,30,33,19,10,2,0,0.12,0.9,1.32,0.95,0.6,0.14,4.03
2022-11-29,23739,0,3,19,35,29,13,2,0,0.06,0.57,1.4,1.45,0.78,0.14,4.4
2022-11-28,26051,0,10,38,35,13,3,0,0,0.2,1.14,1.4,0.65,0.18,0,3.57
2022-11-27,25206,0,6,28,39,19,6,1,0,0.12,0.84,1.56,0.95,0.36,0.07,3.9
2022-11-26,26381,1,17,36,31,12,3,0,0.01,0.34,1.08,1.24,0.6,0.18,0,3.45
2022-11-25,24197,0,8,28,40,18,5,1,0,0.16,0.84,1.6,0.9,0.3,0.07,3.87
2022-11-24,27705,5,13,25,27,19,10,2,0.05,0.26,0.75,1.08,0.95,0.6,0.14,3.83
2022-11-23,26663,1,12,32,30,18,6,1,0.01,0.24,0.96,1.2,0.9,0.36,0.07,3.74
2022-11-22,27437,1,10,26,32,21,9,1,0.01,0.2,0.78,1.28,1.05,0.54,0.07,3.93
2022-11-21,24288,0,5,19,33,27,13,3,0,0.1,0.57,1.32,1.35,0.78,0.21,4.33
2022-11-20,24991,1,6,17,27,27,18,5,0.01,0.12,0.51,1.08,1.35,1.08,0.35,4.5
2022-11-19,24749,0,7,26,35,22,9,1,0,0.14,0.78,1.4,1.1,0.54,0.07,4.03
2022-11-18,29208,0,2,23,49,20,5,1,0,0.04,0.69,1.96,1,0.3,0.07,4.06
2022-11-17,27465,0,14,35,33,14,4,0,0,0.28,1.05,1.32,0.7,0.24,0,3.59
2022-11-16,25576,0,5,16,23,24,22,10,0,0.1,0.48,0.92,1.2,1.32,0.7,4.72
2022-11-15,27475,0,5,21,31,24,15,4,0,0.1,0.63,1.24,1.2,0.9,0.28,4.35
2022-11-14,26536,1,6,26,36,21,8,1,0.01,0.12,0.78,1.44,1.05,0.48,0.07,3.95
2022-11-13,25085,0,8,25,30,21,13,3,0,0.16,0.75,1.2,1.05,0.78,0.21,4.15
2022-11-12,24660,0,4,22,38,25,9,1,0,0.08,0.66,1.52,1.25,0.54,0.07,4.12
2022-11-11,25993,0,5,25,38,23,8,1,0,0.1,0.75,1.52,1.15,0.48,0.07,4.07
2022-11-10,27467,1,11,31,33,18,5,1,0.01,0.22,0.93,1.32,0.9,0.3,0.07,3.75
2022-11-09,28984,1,16,38,31,11,3,1,0.01,0.32,1.14,1.24,0.55,0.18,0.07,3.51
2022-11-08,27213,0,4,24,37,24,9,1,0,0.08,0.72,1.48,1.2,0.54,0.07,4.09
2022-11-07,26096,0,6,26,36,23,7,1,0,0.12,0.78,1.44,1.15,0.42,0.07,3.98
2022-11-06,31068,2,19,30,27,15,6,2,0.02,0.38,0.9,1.08,0.75,0.36,0.14,3.63
2022-11-05,29743,5,14,31,29,15,4,1,0.05,0.28,0.93,1.16,0.75,0.24,0.07,3.48
2022-11-04,27330,0,5,34,43,15,3,0,0,0.1,1.02,1.72,0.75,0.18,0,3.77
2022-11-03,29554,1,18,31,30,15,4,1,0.01,0.36,0.93,1.2,0.75,0.24,0.07,3.56
2022-11-02,27670,0,6,30,39,20,6,1,0,0.12,0.9,1.56,1,0.36,0.07,4.01
2022-11-01,27502,0,1,14,37,33,14,2,0,0.02,0.42,1.48,1.65,0.84,0.14,4.55
