wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-05-31,62768,0,6,27,34,21,10,2,0,0.12,0.81,1.36,1.05,0.6,0.14,4.08
2022-05-30,60969,0,6,28,36,21,8,1,0,0.12,0.84,1.44,1.05,0.48,0.07,4
2022-05-29,56839,0,6,17,33,29,13,2,0,0.12,0.51,1.32,1.45,0.78,0.14,4.32
2022-05-28,60069,0,4,27,38,22,7,1,0,0.08,0.81,1.52,1.1,0.42,0.07,4
2022-05-27,63846,0,8,36,33,17,6,1,0,0.16,1.08,1.32,0.85,0.36,0.07,3.84
2022-05-26,63188,0,7,28,34,21,8,1,0,0.14,0.84,1.36,1.05,0.48,0.07,3.94
2022-05-25,62723,0,2,9,25,33,24,6,0,0.04,0.27,1,1.65,1.44,0.42,4.82
2022-05-24,63380,0,5,26,35,24,9,1,0,0.1,0.78,1.4,1.2,0.54,0.07,4.09
2022-05-23,66431,0,5,25,37,22,9,2,0,0.1,0.75,1.48,1.1,0.54,0.14,4.11
2022-05-22,67909,1,7,26,36,21,8,1,0.01,0.14,0.78,1.44,1.05,0.48,0.07,3.97
2022-05-21,66814,1,9,28,34,20,8,1,0.01,0.18,0.84,1.36,1,0.48,0.07,3.94
2022-05-20,69884,1,4,17,28,26,18,6,0.01,0.08,0.51,1.12,1.3,1.08,0.42,4.52
2022-05-19,70920,0,4,19,33,27,14,3,0,0.08,0.57,1.32,1.35,0.84,0.21,4.37
2022-05-18,73933,0,8,34,35,17,5,1,0,0.16,1.02,1.4,0.85,0.3,0.07,3.8
2022-05-17,70722,0,4,22,37,26,10,1,0,0.08,0.66,1.48,1.3,0.6,0.07,4.19
2022-05-16,68349,0,2,14,32,33,16,2,0,0.04,0.42,1.28,1.65,0.96,0.14,4.49
2022-05-15,67115,0,4,16,29,29,18,4,0,0.08,0.48,1.16,1.45,1.08,0.28,4.53
2022-05-14,73225,1,10,31,34,18,7,1,0.01,0.2,0.93,1.36,0.9,0.42,0.07,3.89
2022-05-13,77585,0,6,33,38,17,5,1,0,0.12,0.99,1.52,0.85,0.3,0.07,3.85
2022-05-12,75673,0,2,16,37,31,13,2,0,0.04,0.48,1.48,1.55,0.78,0.14,4.47
2022-05-11,79446,0,9,26,32,21,9,1,0,0.18,0.78,1.28,1.05,0.54,0.07,3.9
2022-05-10,74412,0,2,16,38,29,12,2,0,0.04,0.48,1.52,1.45,0.72,0.14,4.35
2022-05-09,88932,1,14,32,30,17,6,1,0.01,0.28,0.96,1.2,0.85,0.36,0.07,3.73
2022-05-08,72518,0,2,10,30,34,20,4,0,0.04,0.3,1.2,1.7,1.2,0.28,4.72
2022-05-07,74458,0,3,25,39,24,9,1,0,0.06,0.75,1.56,1.2,0.54,0.07,4.18
2022-05-06,76292,0,4,20,35,26,12,2,0,0.08,0.6,1.4,1.3,0.72,0.14,4.24
2022-05-05,85979,0,3,16,26,24,19,12,0,0.06,0.48,1.04,1.2,1.14,0.84,4.76
2022-05-04,107750,6,26,32,22,10,3,0,0.06,0.52,0.96,0.88,0.5,0.18,0,3.1
2022-05-03,85817,1,8,24,33,23,10,1,0.01,0.16,0.72,1.32,1.15,0.6,0.07,4.03
2022-05-02,95643,1,10,23,29,24,11,2,0.01,0.2,0.69,1.16,1.2,0.66,0.14,4.06
2022-05-01,77658,0,1,9,26,37,23,3,0,0.02,0.27,1.04,1.85,1.38,0.21,4.77
